corruption_id,happiness_id,institutional_trust,perceived_corruption
1,1,0.41978,0.58022
2,2,0.14145,0.85855
3,3,0.48357,0.51643
4,4,0.36503,0.63497
5,5,0.32957,0.6704300000000001
6,6,0.41372,0.58628
7,7,0.31814,0.68186
8,8,0.43844,0.5615600000000001
9,9,0.42922,0.5707800000000001
10,10,0.35637,0.6436299999999999
11,11,0.07785,0.92215
12,12,0.10583,0.89417
13,13,0.18676,0.81324
14,14,0.21312,0.78688
15,15,0.1589,0.8411
16,16,0.17521,0.82479
17,17,0.37798,0.62202
18,18,0.28703,0.71297
19,19,0.2254,0.7746
20,20,0.38583,0.61417
21,21,0.32067,0.67933
22,22,0.32524,0.67476
23,23,0.11069,0.88931
24,24,0.4921,0.5079
25,25,0.0927,0.9073
26,26,0.21843,0.78157
27,27,0.12869,0.87131
28,28,0.52208,0.47792
29,29,0.20646,0.79354
30,30,0.08484,0.91516
31,31,0.02652,0.97348
32,32,0.24558,0.75442
33,33,0.0512,0.9488
34,34,0.03187,0.96813
35,35,0.32524,0.67476
36,36,0.06398,0.93602
37,37,0.13586,0.86414
38,38,0.08129,0.91871
39,39,0.25609,0.7439100000000001
40,40,0.13633,0.8636699999999999
41,41,0.0114,0.9886
42,42,0.11776,0.88224
43,43,0.09472,0.90528
44,44,0.30826,0.69174
45,45,0.03431,0.96569
46,46,0.1806,0.8194
47,47,0.07857,0.92143
48,48,0.1809,0.8190999999999999
49,49,0.306,0.694
50,50,0.02901,0.97099
51,51,0.088,0.912
52,52,0.01615,0.98385
53,53,0.08242,0.9175800000000001
54,54,0.08454,0.9154599999999999
55,55,0.03787,0.96213
56,56,0.01031,0.98969
57,57,0.19317,0.8068299999999999
58,58,0.05989,0.94011
59,59,0.1909,0.8091
60,60,0.04212,0.95788
61,61,0.10501,0.89499
62,62,0.0243,0.9757
63,63,0.11023,0.88977
64,64,0.03005,0.96995
65,65,0.02299,0.97701
66,66,0.1428,0.8572
67,67,0.06146,0.93854
68,68,0.17383,0.82617
69,69,0.04741,0.95259
70,70,0.30844,0.69156
71,71,0.07521,0.92479
72,72,0.37124,0.62876
73,73,0.15184,0.84816
74,74,0.0,1.0
75,75,0.10441,0.89559
76,76,0.15746,0.8425400000000001
77,77,0.04232,0.95768
78,78,0.0403,0.9597
79,79,0.15445,0.84555
80,80,0.16065,0.83935
81,81,0.10464,0.89536
82,82,0.14293,0.85707
83,83,0.14296,0.85704
84,84,0.02781,0.97219
85,85,0.12468,0.87532
86,86,0.00649,0.99351
87,87,0.02617,0.97383
88,88,0.01078,0.98922
89,89,0.06332,0.93668
90,90,0.12279,0.87721
91,91,0.39928,0.6007199999999999
92,92,0.08546,0.91454
93,93,0.05327,0.94673
94,94,0.15603,0.84397
95,95,0.06413,0.93587
96,96,0.00227,0.99773
97,97,0.12504,0.87496
98,98,0.14234,0.85766
99,99,0.24249,0.75751
100,100,0.02666,0.97334
101,101,0.0306,0.9694
102,102,0.01397,0.98603
103,103,0.04582,0.95418
104,104,0.02758,0.97242
105,105,0.06825,0.93175
106,106,0.15072,0.84928
107,107,0.06358,0.93642
108,108,0.12905,0.87095
109,109,0.12569,0.87431
110,110,0.05863,0.94137
111,111,0.02961,0.97039
112,112,0.13788,0.86212
113,113,0.08884,0.91116
