country_id,country,region
1,Switzerland,Western Europe
2,Iceland,Western Europe
3,Denmark,Western Europe
4,Norway,Western Europe
5,Canada,North America
6,Finland,Western Europe
7,Netherlands,Western Europe
8,Sweden,Western Europe
9,New Zealand,Australia and New Zealand
10,Australia,Australia and New Zealand
11,Israel,Middle East and Northern Africa
12,Costa Rica,Latin America and Caribbean
13,Austria,Western Europe
14,Mexico,Latin America and Caribbean
15,United States,North America
16,Brazil,Latin America and Caribbean
17,Luxembourg,Western Europe
18,Ireland,Western Europe
19,Belgium,Western Europe
20,United Arab Emirates,Middle East and Northern Africa
21,United Kingdom,Western Europe
22,Oman,Middle East and Northern Africa
23,Venezuela,Latin America and Caribbean
24,Singapore,Southeastern Asia
25,Panama,Latin America and Caribbean
26,Germany,Western Europe
27,Chile,Latin America and Caribbean
28,Qatar,Middle East and Northern Africa
29,France,Western Europe
30,Argentina,Latin America and Caribbean
31,Czech Republic,Central and Eastern Europe
32,Uruguay,Latin America and Caribbean
33,Colombia,Latin America and Caribbean
34,Thailand,Southeastern Asia
35,Saudi Arabia,Middle East and Northern Africa
36,Spain,Western Europe
37,Malta,Western Europe
38,Taiwan,Eastern Asia
39,Kuwait,Middle East and Northern Africa
40,Suriname,Latin America and Caribbean
41,Trinidad and Tobago,Latin America and Caribbean
42,El Salvador,Latin America and Caribbean
43,Guatemala,Latin America and Caribbean
44,Uzbekistan,Central and Eastern Europe
45,Slovakia,Central and Eastern Europe
46,Japan,Eastern Asia
47,South Korea,Eastern Asia
48,Ecuador,Latin America and Caribbean
49,Bahrain,Middle East and Northern Africa
50,Italy,Western Europe
51,Bolivia,Latin America and Caribbean
52,Moldova,Central and Eastern Europe
53,Paraguay,Latin America and Caribbean
54,Kazakhstan,Central and Eastern Europe
55,Slovenia,Central and Eastern Europe
56,Lithuania,Central and Eastern Europe
57,Nicaragua,Latin America and Caribbean
58,Peru,Latin America and Caribbean
59,Belarus,Central and Eastern Europe
60,Poland,Central and Eastern Europe
61,Malaysia,Southeastern Asia
62,Croatia,Central and Eastern Europe
63,Libya,Middle East and Northern Africa
64,Russia,Central and Eastern Europe
65,Jamaica,Latin America and Caribbean
66,North Cyprus,Western Europe
67,Cyprus,Western Europe
68,Algeria,Middle East and Northern Africa
69,Kosovo,Central and Eastern Europe
70,Turkmenistan,Central and Eastern Europe
71,Mauritius,Sub-Saharan Africa
72,Hong Kong,Eastern Asia
73,Estonia,Central and Eastern Europe
74,Indonesia,Southeastern Asia
75,Vietnam,Southeastern Asia
76,Turkey,Middle East and Northern Africa
77,Kyrgyzstan,Central and Eastern Europe
78,Nigeria,Sub-Saharan Africa
79,Bhutan,Southern Asia
80,Azerbaijan,Central and Eastern Europe
81,Pakistan,Southern Asia
82,Jordan,Middle East and Northern Africa
83,Montenegro,Central and Eastern Europe
84,China,Eastern Asia
85,Zambia,Sub-Saharan Africa
86,Romania,Central and Eastern Europe
87,Serbia,Central and Eastern Europe
88,Portugal,Western Europe
89,Latvia,Central and Eastern Europe
90,Philippines,Southeastern Asia
91,Somaliland region,Sub-Saharan Africa
92,Morocco,Middle East and Northern Africa
93,Macedonia,Central and Eastern Europe
94,Mozambique,Sub-Saharan Africa
95,Albania,Central and Eastern Europe
96,Bosnia and Herzegovina,Central and Eastern Europe
97,Lesotho,Sub-Saharan Africa
98,Dominican Republic,Latin America and Caribbean
99,Laos,Southeastern Asia
100,Mongolia,Eastern Asia
101,Swaziland,Sub-Saharan Africa
102,Greece,Western Europe
103,Lebanon,Middle East and Northern Africa
104,Hungary,Central and Eastern Europe
105,Honduras,Latin America and Caribbean
106,Tajikistan,Central and Eastern Europe
107,Tunisia,Middle East and Northern Africa
108,Palestinian Territories,Middle East and Northern Africa
109,Bangladesh,Southern Asia
110,Iran,Middle East and Northern Africa
111,Ukraine,Central and Eastern Europe
112,Iraq,Middle East and Northern Africa
113,South Africa,Sub-Saharan Africa
114,Ghana,Sub-Saharan Africa
115,Zimbabwe,Sub-Saharan Africa
116,Liberia,Sub-Saharan Africa
117,India,Southern Asia
118,Sudan,Sub-Saharan Africa
119,Haiti,Latin America and Caribbean
120,Congo (Kinshasa),Sub-Saharan Africa
121,Nepal,Southern Asia
122,Ethiopia,Sub-Saharan Africa
123,Sierra Leone,Sub-Saharan Africa
124,Mauritania,Sub-Saharan Africa
125,Kenya,Sub-Saharan Africa
126,Djibouti,Sub-Saharan Africa
127,Armenia,Central and Eastern Europe
128,Botswana,Sub-Saharan Africa
129,Myanmar,Southeastern Asia
130,Georgia,Central and Eastern Europe
131,Malawi,Sub-Saharan Africa
132,Sri Lanka,Southern Asia
133,Cameroon,Sub-Saharan Africa
134,Bulgaria,Central and Eastern Europe
135,Egypt,Middle East and Northern Africa
136,Yemen,Middle East and Northern Africa
137,Angola,Sub-Saharan Africa
138,Mali,Sub-Saharan Africa
139,Congo (Brazzaville),Sub-Saharan Africa
140,Comoros,Sub-Saharan Africa
141,Uganda,Sub-Saharan Africa
142,Senegal,Sub-Saharan Africa
143,Gabon,Sub-Saharan Africa
144,Niger,Sub-Saharan Africa
145,Cambodia,Southeastern Asia
146,Tanzania,Sub-Saharan Africa
147,Madagascar,Sub-Saharan Africa
148,Central African Republic,Sub-Saharan Africa
149,Chad,Sub-Saharan Africa
150,Guinea,Sub-Saharan Africa
151,Ivory Coast,Sub-Saharan Africa
152,Burkina Faso,Sub-Saharan Africa
153,Afghanistan,Southern Asia
154,Rwanda,Sub-Saharan Africa
155,Benin,Sub-Saharan Africa
156,Syria,Middle East and Northern Africa
157,Burundi,Sub-Saharan Africa
158,Togo,Sub-Saharan Africa
159,Puerto Rico,Latin America and Caribbean
